"index","SessionID","Administrative","Administrative_Duration","Informational","Informational_Duration","ProductRelated","ProductRelated_Duration","BounceRates","ExitRates","PageValues","SpecialDay","Weekend","Month","CustomerType","Purchase"
"65","66","3","87.83333333","0","0","27","798.3333333","0","0.012643678","22.9160357","0.8","False","Feb","Returning_Customer","1"
"76","77","10","1005.666667","0","0","36","2111.341667","0.004347826","0.014492754","11.43941195","0","False","Feb","Returning_Customer","1"
"101","102","4","61","0","0","19","607","0","0.026984127","17.53595893","1","True","Feb","Returning_Customer","1"
"188","189","9","111.5","1","48.5","49","1868.819697","0","0.020708874","1.706014966","0","False","Mar","Returning_Customer","1"
"196","197","2","56","1","144","67","2563.783333","0","0.005797101","19.34265017","0","False","Mar","New_Customer","1"
"198","199","0","0","0","0","17","840.2333333","0","0.001666667","109.176","0","False","Mar","New_Customer","1"
"199","200","3","94","2","125","55","1970.844805","0","0.001724138","96.25511582","0","True","Mar","New_Customer","1"
"200","201","1","32","0","0","50","2867","0","0.004","153.4432478","0","True","Mar","Returning_Customer","1"
"206","207","1","18","0","0","16","1331.75","0","0.0125","33.79956701","0","False","Mar","New_Customer","1"
"220","221","2","38","0","0","14","643","0","0.013333333","35.0928","0","False","Mar","Returning_Customer","1"
"228","229","0","0","0","0","16","2337","0","0.013333333","17.76266667","0","False","Mar","Returning_Customer","1"
"248","249","16","155.6313131","0","0","32","908.013456","0.005","0.01805276","4.368515556","0","False","Mar","Returning_Customer","1"
"262","263","1","158","1","64","29","1916.761905","0.006451613","0.018709677","8.772473118","0","True","Mar","Returning_Customer","1"
"265","266","0","0","0","0","63","5220.083333","0","0.003329865","51.46331148","0","True","Mar","Returning_Customer","1"
"276","277","4","15","0","0","10","197.2","0","0.016666667","38.99","0","True","Mar","Returning_Customer","1"
"281","282","0","0","0","0","11","300.0714286","0","0.02","53.9892","0","True","Mar","Returning_Customer","1"
"294","295","2","8","1","14.33333333","14","603.6666667","0","0.0125","44.67925","0","False","Mar","Returning_Customer","1"
"295","296","0","0","0","0","13","328.9166667","0","0.014285714","59.79014286","0","False","Mar","Returning_Customer","1"
"320","321","1","38","0","0","23","1483.6","0.022916667","0.038373016","7.103020833","0","False","Mar","Returning_Customer","1"
"355","356","0","0","1","9","30","1992.833333","0","0.003333333","9.227000967","0","False","Mar","Returning_Customer","1"
"365","366","3","618","0","0","9","341","0","0.007692308","34.43601877","0","False","Mar","New_Customer","1"
"379","380","2","102.5","3","60","22","1034.975","0","0.014","16.14384","0","False","Mar","Returning_Customer","1"
"390","391","6","71.5","0","0","47","1532.2","0.009929078","0.019797366","27.26888014","0","False","Mar","Returning_Customer","1"
"399","400","7","191.2","4","654.3333333","31","1204.600433","0.000854701","0.013342491","11.92009615","0","False","Mar","Returning_Customer","1"
"400","401","2","47","0","0","39","1743.366667","0","0.016410256","78.93483561","0","False","Mar","Returning_Customer","1"
"408","409","8","237.5","4","142","30","1569.625","0","0.008108108","15.88906362","0","True","Mar","Returning_Customer","1"
"416","417","0","0","2","39","15","245","0","0.0125","11.9955404","0","True","Mar","Returning_Customer","1"
"424","425","4","74","2","629","149","5042.458059","0.003870968","0.007285123","18.36804916","0","False","Mar","Returning_Customer","1"
"457","458","0","0","0","0","17","766.5","0","0.0125","61.9395","0","True","Mar","New_Customer","1"
"503","504","4","100.3","0","0","66","2868.133333","0.011428571","0.01725974","9.162351243","0","False","Mar","Returning_Customer","1"
"510","511","14","416.3928571","6","449.3333333","258","11301.20416","0","0.00742538","33.6117917","0","False","Mar","Returning_Customer","1"
"587","588","0","0","1","0","51","2122.656061","0","0.007051282","9.294775641","0","False","Mar","Returning_Customer","1"
"601","602","6","99.60588235","0","0","83","2585.61835","0","0.00761877","6.871308983","0","False","Mar","Returning_Customer","1"
"603","604","3","68","1","103","10","808.5","0","0.015384615","35.99261538","0","True","Mar","Returning_Customer","1"
"609","610","1","34","0","0","7","179","0","0.028571429","53.13428571","0","False","Mar","New_Customer","1"
"610","611","6","176.25","12","404","41","2720.671429","0.012962963","0.033262108","8.833825926","0","True","Mar","Returning_Customer","1"
"612","613","6","523.2142857","2","263","48","2309.732468","0.003846154","0.014903846","10.60089168","0","False","Mar","Returning_Customer","1"
"614","615","3","118.6666667","0","0","17","694","0.003703704","0.008333333","27.45138186","0","True","Mar","Returning_Customer","1"
"621","622","3","92.83333333","0","0","24","463.8166667","0.002666667","0.015333333","17.84230699","0","False","Mar","Returning_Customer","1"
"633","634","0","0","0","0","37","1643.435516","0.005555556","0.032271242","2.188718519","0","True","Mar","Returning_Customer","1"
"637","638","0","0","0","0","27","1070.461905","0","0.007407407","57.7293604","0","False","Mar","Returning_Customer","1"
"641","642","17","754.1095238","2","77","31","1021.619336","0.004545455","0.026479076","2.08053355","0","False","Mar","Returning_Customer","1"
"647","648","0","0","0","0","45","1594.283333","0","0.015227273","45.4316713","0","True","Mar","Returning_Customer","1"
"652","653","2","47","0","0","21","825.0833333","0","0.009090909","10.7929507","0","False","Mar","New_Customer","1"
"665","666","5","134.9285714","2","41","31","2013.595238","0","0.014141414","8.482727273","0","False","Mar","Returning_Customer","1"
"682","683","2","45.44444444","1","40.66666667","57","851.6426534","0","0.007923497","3.077836066","0","True","Mar","Returning_Customer","1"
"694","695","1","72.66666667","4","345","24","879.9090909","0","0.035897436","6.482798269","0","False","Mar","Returning_Customer","1"
"695","696","5","100.9166667","0","0","56","1432.223333","0","0.002185792","69.43043195","0","True","Mar","Returning_Customer","1"
"697","698","3","49.5","1","29.5","45","1545.5","0","0.004","20.97144","0","True","Mar","Returning_Customer","1"
"702","703","6","96.85714286","0","0","28","672.5452381","0","0.020707071","19.71468924","0","False","Mar","Returning_Customer","1"
"704","705","19","402.1857143","4","116","64","3179.354257","0.002531646","0.016289934","4.642","0","False","Mar","Returning_Customer","1"
"722","723","4","359.3","4","407","69","5485.105556","0.010526316","0.017493734","4.494741228","0","True","Mar","Returning_Customer","1"
"735","736","0","0","1","81","82","3214.020563","0","0.007723577","4.667079268","0","False","Mar","Returning_Customer","1"
"750","751","0","0","0","0","50","1803.768849","0.001360544","0.017428305","3.609398514","0","True","Mar","Returning_Customer","1"
"752","753","6","171.0833333","0","0","28","952.2857143","0","0.013333333","52.10818182","0","False","Mar","Returning_Customer","1"
"758","759","0","0","0","0","14","510.5","0","0.015384615","31.3094364","0","False","Mar","New_Customer","1"
"760","761","6","262.25","3","298","49","2302.021242","0.000308642","0.026591844","43.3616369","0","False","Mar","Returning_Customer","1"
"772","773","6","437.3913043","2","235.55","83","2503.881781","0.002197802","0.004916136","2.086218493","0","False","Mar","Returning_Customer","1"
"779","780","3","16.33333333","0","0","23","505.5833333","0.008","0.03","9.15008","0","False","Mar","Returning_Customer","1"
"783","784","4","15","1","17","17","490","0","0.027272727","15.66445171","0","False","Mar","Returning_Customer","1"
"802","803","3","74","2","26","53","893.5111111","0.003571429","0.005357143","44.61199852","0","True","Mar","Returning_Customer","1"
"810","811","7","301.7","6","336.5","42","1981.016667","0.005660377","0.021383648","13.00183962","0","True","Mar","Returning_Customer","1"
"813","814","0","0","0","0","22","1310.5","0.00952381","0.028571429","23.86359286","0","False","Mar","Returning_Customer","1"
"837","838","5","117.8333333","0","0","35","502.547619","0.01025641","0.036923077","3.148615385","0","False","Mar","Returning_Customer","1"
"845","846","4","64.33333333","1","13","27","1433.916667","0","0.018226601","3.691344828","0","False","Mar","New_Customer","1"
"853","854","8","492.4166667","4","384","52","4699.277778","0.007258065","0.018233487","11.1076505","0","False","Mar","Returning_Customer","1"
"858","859","0","0","0","0","8","349.5","0","0.028571429","25.188","0","False","Mar","New_Customer","1"
"863","864","6","352.5","0","0","21","696.6666667","0","0.0125","75.06781572","0","True","Mar","New_Customer","1"
"878","879","0","0","0","0","10","316.5","0","0.025","17.538","0","True","Mar","New_Customer","1"
"896","897","1","47","0","0","5","388","0","0.04","31.188","0","True","Mar","Returning_Customer","1"
"903","904","0","0","0","0","10","253.5","0","0.022222222","63.588","0","True","Mar","New_Customer","1"
"905","906","3","152.5","5","243.5","43","3065.945238","0","0.011666667","3.31108","0","True","Mar","Returning_Customer","1"
"939","940","4","167.5","0","0","22","869.9","0","0.026388889","33.53327578","0","False","Mar","Returning_Customer","1"
"954","955","0","0","0","0","13","323.9166667","0","0.008333333","35.8370931","0","False","Mar","Returning_Customer","1"
"979","980","11","247.3333333","2","369","90","7221","0.001030928","0.003917526","13.46406308","0","False","Mar","Returning_Customer","1"
"983","984","1","16","0","0","27","1240.916667","0","0.009259259","28.39335492","0","False","Mar","Returning_Customer","1"
"1029","1030","1","37","0","0","12","663.5","0","0.016666667","10.83431037","0","False","Mar","New_Customer","1"
"1032","1033","3","26","0","0","19","576.0833333","0.009090909","0.018181818","30.65045455","0","True","Mar","Returning_Customer","1"
"1042","1043","1","123","0","0","7","181.5","0","0.025","64.7325","0","True","Mar","New_Customer","1"
"1049","1050","5","72.5","0","0","31","649.3071429","0","0.001041667","35.10378279","0","True","Mar","Returning_Customer","1"
"1050","1051","1","21","1","61","49","1647.152381","0","0.0008","144.3934888","0","True","Mar","Returning_Customer","1"
"1067","1068","2","35","0","0","20","979.0833333","0","0.00952381","60.04549665","0","False","Mar","Returning_Customer","1"
"1069","1070","6","160.0952381","3","94.5","47","1682.870247","0.001333333","0.007891429","5.698642857","0","False","Mar","Returning_Customer","1"
"1106","1107","6","60","2","61","23","1031.704762","0","0.007111111","33.14784917","0","True","Mar","Returning_Customer","1"
"1115","1116","0","0","3","300","13","509.1214286","0.006666667","0.002222222","40.7932","0","True","Mar","Returning_Customer","1"
"1144","1145","1","112","0","0","37","2043.5","0.005555556","0.016666667","12.3578472","0","False","Mar","Returning_Customer","1"
"1157","1158","10","117.3333333","0","0","28","631.9896825","0.017647059","0.022794118","10.16517157","0","False","Mar","Returning_Customer","1"
"1161","1162","1","0","0","0","16","1296.6","0.022222222","0.033333333","13.28355556","0","False","Mar","Returning_Customer","1"
"1171","1172","0","0","1","42","20","408.3333333","0","0.003174603","33.47777322","0","False","Mar","Returning_Customer","1"
"1175","1176","0","0","0","0","30","1224.75","0","0.007142857","21.04864167","0","False","Mar","New_Customer","1"
"1182","1183","9","204.0833333","0","0","63","3552.702381","0","0.007","19.95572297","0","False","Mar","New_Customer","1"
"1183","1184","2","151","0","0","19","716.3571429","0.004761905","0.015873016","10.8692605","0","True","Mar","Returning_Customer","1"
"1185","1186","6","52","1","24","56","3763.166667","0.003389831","0.01480226","10.37042373","0","False","Mar","Returning_Customer","1"
"1188","1189","4","600.4230769","0","0","17","1883.827222","0.00075188","0.013061325","0.120699914","0","False","Mar","Returning_Customer","1"
"1195","1196","2","152.8333333","0","0","20","791.6666667","0.011111111","0.016666667","41.35007203","0","False","Mar","New_Customer","1"
"1219","1220","0","0","0","0","6","495","0","0.02","77.96","0","True","Mar","Returning_Customer","1"
"1233","1234","9","160","0","0","48","3946.008333","0.007272727","0.011515152","20.32388105","0","True","Mar","Returning_Customer","1"
"1251","1252","3","91","2","338","11","451","0","0.006666667","45.7504","0","False","Mar","New_Customer","1"
"1259","1260","0","0","0","0","6","546","0","0.04","35.49","0","False","Mar","Returning_Customer","1"
"1283","1284","6","136.5555556","0","0","59","3224.819084","0.002985075","0.011923715","8.567426866","0","True","Mar","Returning_Customer","1"
"1298","1299","0","0","1","55","9","936.8333333","0","0.022222222","53.25533333","0","True","Mar","Returning_Customer","1"
"1304","1305","2","18","0","0","15","756.3333333","0.0125","0.0625","29.24325","0","False","Mar","Returning_Customer","1"
"1315","1316","0","0","1","28","13","474.6666667","0","0.014285714","33.41","0","False","Mar","Returning_Customer","1"
"1321","1322","3","180","0","0","12","1436.5","0","0.013333333","27.75904925","0","True","Mar","Returning_Customer","1"
"1323","1324","4","52","1","7","46","3087","0.003773585","0.021383648","16.94643793","0","False","Mar","Returning_Customer","1"
"1328","1329","1","69","0","0","8","423","0","0.025","28.05094335","0","False","Mar","New_Customer","1"
"1333","1334","0","0","0","0","26","1377.769697","0","0.008","92.4822063","0","False","Mar","Returning_Customer","1"
"1338","1339","0","0","0","0","36","1166.72619","0","0.025","4.599","0","True","Mar","Returning_Customer","1"
"1339","1340","2","11.92307692","2","139","80","4099.737392","0.004117063","0.005279668","16.88069613","0","True","Mar","Returning_Customer","1"
"1353","1354","4","206.3333333","0","0","20","917.35","0","0.008333333","23.83323089","0","True","Mar","Returning_Customer","1"
"1362","1363","12","739.2091954","1","16","21","1321.059195","0.009032258","0.025133361","78.34560177","0","False","Mar","Returning_Customer","1"
"1368","1369","4","68.5","2","845","82","2448.784448","0.000374532","0.008907697","6.506831398","0","False","Mar","Returning_Customer","1"
"1372","1373","2","58","0","0","50","952.4345238","0","0.011538462","2.179730769","0","True","Mar","Returning_Customer","1"
"1388","1389","3","134","0","0","53","1659.319697","0","0.00380117","62.34813701","0","False","Mar","Returning_Customer","1"
"1397","1398","8","87.5","0","0","31","496.5833333","0.005405405","0.012612613","3.889459459","0","False","Mar","Returning_Customer","1"
"1413","1414","2","33","0","0","25","1720","0","0.007692308","60.29018448","0","False","Mar","Returning_Customer","1"
"1423","1424","4","143","1","20.5","10","386.15","0","0.015384615","64.6","0","False","Mar","Returning_Customer","1"
"1428","1429","1","0","0","0","20","2270.833333","0","0.023809524","10.23187302","0","False","Mar","Returning_Customer","1"
"1432","1433","0","0","0","0","12","481.8333333","0","0.018181818","74.088","0","False","Mar","New_Customer","1"
"1435","1436","2","75","0","0","14","851","0","0.014285714","22.88908649","0","True","Mar","New_Customer","1"
"1463","1464","10","1559.75","1","7","41","1663.761905","0.004347826","0.015942029","13.63463318","0","False","Mar","Returning_Customer","1"
"1466","1467","1","0","1","60.5","46","1038.916667","0.021276596","0.039007092","13.10326241","0","False","Mar","Returning_Customer","1"
"1470","1471","6","143.1666667","0","0","50","925.947619","0","0.010160428","13.60512012","0","False","Mar","Returning_Customer","1"
"1490","1491","4","149.25","0","0","27","1212.809524","0","0.020967742","14.89210837","0","False","Mar","Returning_Customer","1"
"1491","1492","5","172.2","0","0","23","792.7222222","0","0.010714286","261.4912857","0","False","Mar","New_Customer","1"
"1511","1512","6","129.75","0","0","42","1173.07","0","0.005319149","18.95323404","0","True","Mar","New_Customer","1"
"1512","1513","6","408.2","0","0","33","878.6238095","0","0.02045045","19.3654955","0","False","Mar","Returning_Customer","1"
"1516","1517","2","24.42857143","7","278.1666667","76","2735.728571","0.002439024","0.024843206","8.631719512","0","False","Mar","Returning_Customer","1"
"1519","1520","10","382.8333333","4","319.3","72","4163.797619","0.000297619","0.010912698","12.0921619","0","False","Mar","Returning_Customer","1"
"1529","1530","9","546","0","0","28","1561.083333","0.01","0.03","3.810575284","0","False","Mar","Returning_Customer","1"
"1552","1553","4","63.33333333","0","0","13","556.6666667","0","0.001666667","27.3063666","0","False","Mar","Returning_Customer","1"
"1564","1565","1","18","4","123.5","24","4114.083333","0","0.003571429","20.91831644","0","False","Mar","New_Customer","1"
"1566","1567","0","0","0","0","7","451","0","0.033333333","49.82333333","0","False","Mar","New_Customer","1"
"1571","1572","2","60","0","0","20","717.6166667","0","0.004761905","60.19477937","0","False","Mar","Returning_Customer","1"
"1572","1573","11","2047.234848","9","1146.666667","45","3641.213151","0.002636535","0.014311471","7.753880158","0","False","Mar","Returning_Customer","1"
"1582","1583","7","187.8333333","0","0","36","1775.516667","0","0.0089599","4.745736842","0","False","Mar","Returning_Customer","1"
"1586","1587","2","66","1","0","10","302","0.042857143","0.05952381","19.53495497","0","False","Mar","Returning_Customer","1"
"1591","1592","2","69","2","92","37","796.9571429","0","0.0242741","3.978276423","0","False","Mar","Returning_Customer","1"
"1635","1636","7","170","0","0","27","1342.666667","0.003333333","0.023333333","29.35629782","0","False","Mar","Returning_Customer","1"
"1637","1638","0","0","0","0","9","639","0","0.025","81.2475","0","True","Mar","Returning_Customer","1"
"1643","1644","5","217.6666667","0","0","18","494.6666667","0","0.019931973","33.14514286","0","False","Mar","Returning_Customer","1"
"1646","1647","8","227.5326923","3","292.6842105","66","3025.521713","0.015995116","0.025541275","7.371682608","0","False","Mar","Returning_Customer","1"
"1664","1665","6","190.2857143","6","609","47","2989.494048","0","0.004813218","30.897985","0","True","Mar","New_Customer","1"
"1666","1667","8","183","4","571.5","14","333.6","0","0.01","15.43344","0","True","Mar","Returning_Customer","1"
"1668","1669","0","0","0","0","9","355.1666667","0","0.004166667","18.02533","0","False","Mar","Returning_Customer","1"
"1672","1673","2","21","0","0","65","2881.133333","0","0.002985075","80.68062856","0","False","Mar","New_Customer","1"
"1696","1697","1","24","0","0","17","498.3333333","0","0.021052632","76.78667659","0","False","Mar","Returning_Customer","1"
"1719","1720","1","6","0","0","16","608.8333333","0.011764706","0.026666667","52.70052142","0","False","Mar","Returning_Customer","1"
"1726","1727","4","136","0","0","31","1141.833333","0","0.006060606","10.63449802","0","False","Mar","Returning_Customer","1"
"1731","1732","3","275","1","29.5","30","1107.047619","0","0.017760943","35.98106601","0","True","Mar","Returning_Customer","1"
"1732","1733","7","161","3","775.5","19","4996.666667","0.008","0.026","14.10053333","0","False","Mar","Returning_Customer","1"
"1738","1739","2","24","0","0","28","1206.614719","0","0.023222222","5.417644444","0","False","Mar","Returning_Customer","1"
"1761","1762","8","377.5128205","3","265","60","2062.890972","0.014009662","0.026580162","1.70506715","0","False","Mar","Returning_Customer","1"
"1774","1775","3","42.6","2","41.5","18","1049.516667","0.023809524","0.03968254","14.25648352","0","True","Mar","Returning_Customer","1"
"1777","1778","4","55.75","0","0","19","685.95","0","0.017724868","7.141428571","0","True","Mar","Returning_Customer","1"
"1780","1781","3","79","0","0","36","2517","0","0.005405405","27.23866195","0","True","Mar","Returning_Customer","1"
"1781","1782","0","0","0","0","19","751.3333333","0","0.002777778","13.62630613","0","True","Mar","Returning_Customer","1"
"1786","1787","1","40","5","279.5","62","1088.830952","0.000980392","0.007230392","11.48461765","0","True","Mar","Returning_Customer","1"
"1787","1788","3","73","0","0","9","2151","0","0.018181818","10.91300022","0","False","Mar","Returning_Customer","1"
"1824","1825","2","24.6","0","0","26","779.5051587","0.011111111","0.034403292","12.55220741","0","True","Mar","Returning_Customer","1"
"1842","1843","2","28","2","175.5","27","1253.333333","0.006666667","0.014666667","39.7173","0","False","Mar","Returning_Customer","1"
"1856","1857","5","143.8333333","1","55","19","1762.5","0","0.013461538","31.54642738","0","False","Mar","Returning_Customer","1"
"1860","1861","5","141","0","0","33","1371.633333","0","0.005555556","44.71103438","0","True","Mar","New_Customer","1"
"1891","1892","4","45.33333333","0","0","53","1440.298918","0.012727273","0.021974359","1.660118182","0","True","Mar","Returning_Customer","1"
"1901","1902","13","456.9880952","3","72.83333333","39","976.7103175","0.004166667","0.009722222","39.65538156","0","True","Mar","Returning_Customer","1"
"1904","1905","1","75","4","250.6666667","44","1679.833333","0","0.001086957","45.8293144","0","True","Mar","New_Customer","1"
"1905","1906","4","99.5","0","0","16","315.1666667","0","0.016666667","12.53314286","0","False","Mar","Returning_Customer","1"
"1918","1919","1","44","0","0","25","773.4666667","0","0.029142857","10.3572","0","True","Mar","Returning_Customer","1"
"1919","1920","5","825","0","0","33","808.1666667","0","0.005405405","20.85956757","0","False","Mar","New_Customer","1"
"1929","1930","0","0","0","0","10","254","0.02","0.04","14.0292","0","False","Mar","New_Customer","1"
"1941","1942","0","0","0","0","10","408","0","0.022222222","88.78460596","0","False","Mar","Returning_Customer","1"
"1963","1964","7","75.05","0","0","31","489.1452381","0.011111111","0.022222222","27.38224222","0","True","Mar","Returning_Customer","1"
"1967","1968","0","0","0","0","24","580.2","0","0.012121212","17.12545455","0","False","Mar","Returning_Customer","1"
"1968","1969","0","0","0","0","32","999","0","0.01344086","9.053081561","0","False","Mar","Returning_Customer","1"
"1983","1984","2","4","0","0","10","284","0","0.016666667","33.32834503","0","False","Mar","New_Customer","1"
"1984","1985","9","81","0","0","34","1219.113725","0.007017544","0.022556391","9.517421053","0","False","Mar","Returning_Customer","1"
"1985","1986","1","0","0","0","21","574.722619","0","0.018888889","6.284044913","0","False","Mar","Returning_Customer","1"
"1996","1997","1","702","0","0","38","2193.150794","0.012280702","0.015614035","9.09277193","0","False","Mar","Returning_Customer","1"
"1997","1998","4","22.5","0","0","15","289.85","0","0.022222222","57.96417654","0","True","Mar","New_Customer","1"
"2001","2002","4","73.75","1","58","12","777.5","0","0.015555556","10.782","0","True","Mar","Returning_Customer","1"
"2006","2007","6","145","6","199","40","1834.166667","0","0.006734694","49.47040982","0","False","Mar","Returning_Customer","1"
"2012","2013","9","183.5","2","29.66666667","52","2211.608333","0.008888889","0.010251724","1.816474074","0","False","Mar","Returning_Customer","1"
"2015","2016","8","139.6818182","8","353.3333333","45","2003.415152","0.007142857","0.00755102","5.576720936","0","False","Mar","Returning_Customer","1"
"2024","2025","0","0","0","0","68","809.2456349","0.002985075","0.005970149","109.9124051","0","False","Mar","Returning_Customer","1"
"2034","2035","2","28.66666667","0","0","12","224.1666667","0","0.023333333","44.73466667","0","False","Mar","Returning_Customer","1"
"2045","2046","13","654.775","8","604.8","160","5349.563713","0.001142857","0.001799477","17.34893623","0","True","Mar","Returning_Customer","1"
"2064","2065","9","222.5","2","46.66666667","20","1267.155556","0.001481481","0.017977208","16.1728","0","False","Mar","Returning_Customer","1"
"2066","2067","2","33.5","1","91","31","1271.821212","0","0.011505376","1.592774194","0","False","Mar","Returning_Customer","1"
"2067","2068","0","0","0","0","32","827.6462121","0","0.00058651","54.67634844","0","False","Mar","Returning_Customer","1"
"2070","2071","5","243.6666667","1","415","20","1267.233333","0","0.01","91.98","0","False","Mar","Returning_Customer","1"
"2072","2073","0","0","0","0","27","694.3035714","0","0.007692308","11.99264025","0","True","Mar","Returning_Customer","1"
"2075","2076","0","0","1","56","17","1385.833333","0.005882353","0.017647059","39.85866667","0","False","Mar","Returning_Customer","1"
"2076","2077","1","6","0","0","15","500","0.026666667","0.073333333","19.996","0","False","Mar","Returning_Customer","1"
"2084","2085","1","5","0","0","13","545.5714286","0.013333333","0.020784314","26.12015415","0","True","Mar","Returning_Customer","1"
"2086","2087","1","78","0","0","21","555.8944444","0","0.002380952","24.75047619","0","False","Mar","New_Customer","1"
"2091","2092","0","0","0","0","15","292.6944444","0","0.005128205","54.98","0","False","May","Returning_Customer","1"
"2093","2094","2","254","1","39","95","4990.959524","0.004123711","0.015307716","5.638103093","0","False","May","Returning_Customer","1"
"2098","2099","5","85.66666667","0","0","25","1194.5","0","0.007692308","11.51923077","0","False","May","New_Customer","1"
"2108","2109","0","0","0","0","12","896.5","0.008333333","0.025","14.6895","0.6","False","May","Returning_Customer","1"
"2110","2111","6","97.88235294","2","9","58","2293.59902","0.008357771","0.033973374","6.7485","0","False","May","Returning_Customer","1"
"2122","2123","3","27","0","0","21","898","0.015384615","0.042307692","10.94723077","0.6","False","May","Returning_Customer","1"
"2131","2132","0","0","0","0","23","1888.5","0","0.008695652","46.00643478","0","True","May","New_Customer","1"
"2153","2154","2","129","0","0","31","866.7","0.011827957","0.034101382","18.11148387","0","False","May","Returning_Customer","1"
"2164","2165","7","89.5","0","0","26","1163.333333","0","0.009375","26.983125","0","False","May","New_Customer","1"
"2169","2170","3","296","0","0","9","394.5","0","0.005555556","28.39833333","0","True","May","New_Customer","1"
"2171","2172","0","0","0","0","21","452.797619","0","0.023","16.82505","0","False","May","Returning_Customer","1"
"2174","2175","3","168.75","0","0","36","1262.833333","0","0.004054054","20.39448649","0","True","May","Returning_Customer","1"
"2178","2179","3","430.8333333","1","262","49","2338.567766","0.023529412","0.028907563","9.609529412","0.6","False","May","Returning_Customer","1"
"2181","2182","7","150.5","0","0","28","549.0833333","0","0.013571429","2.663333333","0","False","May","Returning_Customer","1"
"2188","2189","5","724.5","0","0","23","867.3333333","0","0.000826446","59.988","0","False","May","Returning_Customer","1"
"2202","2203","9","357.25","3","115","45","2889.25","0","0.007","54.9759","0","False","May","Returning_Customer","1"
"2213","2214","9","329.297619","1","75","32","1888.547619","0.010810811","0.025900901","24.63837838","0","True","May","Returning_Customer","1"
"2215","2216","2","47","0","0","42","1528.382468","0","0.004761905","17.69657143","1","True","May","New_Customer","1"
"2219","2220","6","89","3","12","75","5378.045851","0.02013261","0.0464397","4.374401266","0.2","False","May","Returning_Customer","1"
"2243","2244","4","32.66666667","0","0","34","1378.966667","0.007894737","0.01716792","18.46989474","0","True","May","Returning_Customer","1"
"2247","2248","10","295.6940559","0","0","29","785.474359","0","0.001481481","34.99166667","0","True","May","Returning_Customer","1"
"2251","2252","0","0","1","48","32","1808.333333","0.05","0.075208333","12.484125","0.4","False","May","Returning_Customer","1"
"2258","2259","1","35","1","49.5","11","1464","0","0.020512821","32.946","0.2","False","May","Returning_Customer","1"
"2259","2260","0","0","2","236","66","1483.55","0","0.006153846","143.2115385","0","True","May","Returning_Customer","1"
"2267","2268","1","25","0","0","35","1570.5","0","0.002941176","13.07329412","0","True","May","Returning_Customer","1"
"2271","2272","1","13","0","0","15","524.5","0","0.013333333","33.9612","0","False","May","Returning_Customer","1"
"2278","2279","4","309","0","0","27","877.5","0","0.007407407","44.47733333","0","False","May","New_Customer","1"
